Date,Time,Aircraft,Operator,Registration,Flight phase,Flight type,Survivors,Crash site,Schedule,MSN,YOM,Flight no.,Crash location,Country,Region,Crew on board,Crew fatalities,Pax on board,PAX fatalities,Other fatalities,Total fatalities,Circumstances,Crash cause
12/18/2003,12H 26M 0S,Douglas DC-10,Federal Express - FedEx,N364FE,Landing (descent or approach),Cargo,Yes,Airport (less than 10 km from airport),Oakland – Memphis,46600,1971,NA,Memphis Tennessee,United States of America,North America,2,0,5,0,0,0,"On December 18, 2003, about 1226 central standard time, Federal Express Corporation (FedEx) flight 647, a Boeing MD-10-10F (MD-10), N364FE, crashed while landing at Memphis International Airport (MEM), Memphis, Tennessee. The right main landing gear collapsed after touchdown on runway 36R, and the airplane veered off the right side of the runway. After the gear collapsed, a fire developed on the right side of the airplane. Of the two flight crewmembers and five non revenue FedEx pilots on board the airplane, the first officer and one non revenue pilot received minor injuries during the evacuation. The post crash fire destroyed the airplaneís right wing and portions of the right side of the fuselage. Flight 647 departed from Metropolitan Oakland International Airport (OAK), Oakland, California, about 0832 (0632 Pacific standard time) and was operating under the provisions of 14 Code of Federal Regulations (CFR) Part 121 on an instrument flight rules flight plan.",Human factor
12/23/2003,9H 13M 0S,Learjet 24,Pavair,N600XJ,Flight,Executive/Corporate/Business,No,Mountains,Chino – Hailey,24-190,1969,NA,Helendale California,United States of America,North America,2,2,0,0,0,2,"The aircraft departed controlled flight and crashed near Helendale, California. The captain and the first officer were killed, and the airplane was destroyed. The flight was operating under the provisions of 14 Code of Federal Regulations (CFR) Part 912 from San Bernardino County Airport (CNO), Chino, California, to Friedman Memorial Airport, Hailey, Idaho. Visual meteorological conditions prevailed for the flight, which operated on an instrument flight rules flight plan. A review of radar data and air traffic control (ATC) transcripts revealed that the flight departed CNO about 0858 and was cleared to climb to an altitude of 29,000 feet mean sea level (msl). About 0909:55, as the airplane was climbing through an altitude of 26,000 feet, the first officer requested a return to CNO. About 0910:01, the controller asked the first officer if he needed to declare an emergency, and the first officer replied that he did not. The controller then directed the flight crew to maintain an altitude of 24,000 feet. Mode C information for the flight showed that, from about 0910:12 to about 0910:59, the airplane descended from 26,500 to 24,000 feet at a rate of about 2,000 feet per minute (fpm). About 0911:08, the controller cleared the flight directly to HECTOR (a navigation fix) and asked the first officer to confirm that the airplane was in level flight at an altitude of 24,000 feet. The first officer did not respond. Radar data showed the airplane descending through 23,000 feet at a rate of about 6,500 fpm about that time. About 0911:24, while the airplane was descending at a rate of about 10,000 fpm, the first officer stated, “we’re declaring an emergency now.” No further transmissions were received from the airplane. No radar data were available after about 0911:35. Starting about 0911:47, mode C information was invalid. The airplane impacted high desert terrain (an elevation of 3,350 feet) about 3 miles southeast of Helendale. The accident site was located about 46 nautical miles (nm) north of CNO. A witness to the accident, who was located about 4.5 miles northwest of the accident site, stated that, after hearing the sound of a jet flying high overhead, he looked up and observed the accident airplane flying straight and level below a high, overcast cloud layer. He stated that the airplane then pitched “nose down a little” and “straightened again.” He also stated that, shortly thereafter, he observed the airplane’s nose pitch “straight down” until it impacted terrain. The witness reported that he did not notice whether the airplane was rotating about its longitudinal axis during the descent, but he did indicate that the airplane appeared to be intact without any components separating from the airplane during the descent. The witness added that he did not observe any smoke or fire before the airplane impacted terrain and that the airplane exploded into a “mushroom cloud” when it impacted terrain. San Bernardino County firefighters, who were performing controlled burns near the accident site, reported hearing an explosion about the time of the accident. The firefighters reported that they looked toward the direction of the explosion and saw a rising smoke cloud. None of the firefighters observed the airplane before the sound of the explosion. The firefighters drove to the accident site and were the first to arrive there. The firefighters extinguished small fires that had erupted as a result of the crash.",Unknown
12/26/2003,6H 1M 0S,PAC 750XL - Pacific Aerospace Corporation,Utility Aircraft Corporation,ZK-UAC,Flight,Delivery,No,"Lake, Sea, Ocean, River",Hamilton – Pago Pago – Christmas Island – Kiribati – Hilo – Oakland,103,2003,NA,Pacific Ocean All World,World,World,1,1,0,0,0,1,"The pilot was ferrying the aircraft from Hamilton, New Zealand to Davis, California, via Pago Pago, American Samoa; Christmas Island, Kiribati; and Hilo, Hawaii. On the final leg, following a position report 858 nm from San Francisco, he reported a problem with his fuel system, indicating a probable ditching. Under the observation of a US Coast Guard HC-130 crew, the pilot ditched the aircraft at 1701 UTC, 341 nm from San Francisco, the aircraft nosing over on to its back as it touched down. The pilot did not emerge as expected and was later found by rescue swimmers, deceased, still in the cockpit. His body could not be recovered and was lost with the aircraft.",Technical failure
1/1/2004,NA,Beechcraft 100 King Air,Thunder Airlines,C-GFKS,Takeoff (climb),Ambulance,Yes,Airport (less than 10 km from airport),Terrace Bay – Thunder Bay,B-247,1979,NA,Terrace Bay Ontario,Canada,North America,2,0,0,0,0,0,"On take off roll on runway 25 at dusk, left wing struck a snowbank on left side of the runway. Aircraft veered off runway and came to rest in snow with its nose gear sheared off and several damages to the fuselage. Both pilots were uninjured.",Human factor
1/2/2004,16H 30M 0S,Piper PA-31-350 Navajo Chieftain,Larry's Flying Service,N45008,Landing (descent or approach),Cargo,Yes,Airport (less than 10 km from airport),Galena – Koyukuk,31-8052167,1980,NA,Koyukuk Alaska,United States of America,North America,1,0,0,0,0,0,"The Title 14, CFR Part 135 cargo flight departed for a destination airport about 20 miles downriver. Although weather at the departure airport was VFR, no reports of the actual weather along the route of flight were available. Unable to locate the destination airport due to deteriorating weather conditions, the pilot attempted to return to the departure airport following the river for ground reference. The airplane entered fog and whiteout weather conditions, and collided in-flight with the frozen surface of the river.",Human factor
1/3/2004,4H 45M 0S,Boeing 737-300,Flash Airlines,SU-ZCF,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),No,"Lake, Sea, Ocean, River",Sharm el-Sheikh - Cairo - Paris,26283,1992,NA,Sharm el-Sheikh South Sinai,Egypt,Africa,13,13,135,135,0,148,"Following a night takeoff from runway 22R at Sharm el Sheikh-Ophira Airport, the plane climbed and maneuvered for a procedural left turn to intercept the 306 radial from the Sharm el Sheikh VOR station. When the autopilot was engaged the captain made an exclamation and the autopilot was immediately switched off again. The captain then requested Heading Select to be engaged. The plane then began to bank to the right. The copilot then warned the captain a few times about the fact that the bank angle was increasing. At a bank angle of 40° to the right the captain stated ""OK come out"". The ailerons returned briefly to neutral before additional aileron movements commanded an increase in the right bank. The aircraft had reached a maximum altitude of 5,460 feet with a 50° bank when the copilot stated 'overbank'. Repeating himself as the bank angle kept increasing. The maximum bank angle recorded was 111° right. Pitch attitude at that time was 43° nose down and altitude was 3,470 feet. The observer on the flight deck, a trainee copilot, called 'retard power, retard power, retard power'. Both throttles were moved to idle and the airplane gently seemed to recover from the nose-down, right bank attitude. Speed however increased, causing an overspeed warning. At 04:45 the airplane struck the surface of the water in a 24° right bank, 24° nose-down, at a speed of 416 kts and with a 3,9 G load. The aircraft disintegrated on impact and debris sank by a depth of 900 metres. All 148 occupants were killed, among them 133 French citizens, one Moroccan, one Japanese and 13 Egyptian (all crew members, among them six who should disembark at Cairo). Weather at the time of accident was good with excellent visibility, outside temperature of 17° C and light wind. On January 17, the FDR was found at a depth of 1,020 metres and the CVR was found a day later at a depth of 1,050 metres.",Human factor
1/19/2004,NA,De Havilland DHC-6 Twin Otter,Air Regional,PK-WAX,Landing (descent or approach),Cargo,Yes,Airport (less than 10 km from airport),Wamena – Mulia,255,1969,NA,Mulia Special Region of Papua,Indonesia,Asia,1,0,0,0,0,0,"On final approach to Mulia Airport, during the last segment, the aircraft was caught by downdrafts and lost height, causing the nose gear to land first. The aircraft went out of control, ground looped and came to rest in a ditch. The pilot, sole on board, escaped uninjured while the aircraft was damaged beyond repair.",Weather
1/27/2004,14H 40M 0S,Ilyushin II-18,Renan,ER-ICJ,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),Yes,Airport (less than 10 km from airport),Luena – Luanda,186 0091 02,1966,NA,Luena Moxico,Angola,Africa,4,0,14,0,0,0,"During the takeoff roll on runway 29, the aircraft did not accelerate as expected. The captain decided to abort the takeoff procedure but the aircraft could not be stopped within the remaining distance. It overran and collided with trees located 100 meters further. A crew member was injured and the aircraft was damaged beyond repair.",Technical failure
1/28/2004,21H 1M 0S,Beechcraft 1900D,Tassili Airlines,7T-VIN,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Yes,Airport (less than 10 km from airport),Hassi R’Mel – Ghardaïa,UE-365,1999,NA,Ghardaïa Ghardaïa,Algeria,Africa,3,1,2,0,0,1,"The aircraft departed Hassi R'Mel-Tilrhempt Airport at 2030LT on a 15-minutes charter flight to Ghardaïa, carrying three crew members and two employees of the Sonatrach (Société Nationale pour le Transport et la Commercialisation d’Hydrocarbures). At 2044LT, the crew was cleared for a right hand circuit in preparation for an approach to runway 30. At that moment a Boeing 727 inbound from Djanet was on long finals. The copilot stated that he intended to carry out an NDB/ILS approach to runway 30. The captain however preferred a visual approach. The copilot carried out the captain's course and descent instructions with hesitation. At 2057LT, the EGPWS alarm sounded. Power was added and a climb was initiated from a lowest altitude of 240 feet above ground level. The captain then took over control and assumed the role of Pilot Flying. The airplane manoeuvred south of the airport until 2101LT when the copilot saw the runway. The captain rolled left to -57° and pitched down to -18.9° in order to steer the airplane towards the runway. Again the EGPWS sounded but the descent continued until the airplane impacted the ground and broke up. All five occupants were injured and the aircraft was destroyed. A day later, the copilot died from his injuries.",Human factor
1/31/2004,1H 40M 0S,Cessna 414 Chancellor,Hawaii Air Ambulance,N5637C,Flight,Ambulance,No,Mountains,Honolulu – Hilo,414A-0118,1978,NA,Laupahoehoe Hawaii,United States of America,North America,1,1,2,2,0,3,"The airplane collided with trees and mountainous terrain at the 3,600-foot-level of Mauna Kea Volcano during an en route cruise descent toward the destination airport that was 21 miles east of the accident site. The flight departed Honolulu VFR at 0032 to pickup a patient in Hilo, on the Island of Hawaii. The inter island cruising altitude was 9,500 feet and the flight was obtaining VFR flight advisories. At 0113, just before the flight crossed the northwestern coast of Hawaii, the controller provided the pilot with the current Hilo weather, which was reporting a visibility of 1 3/4 miles in heavy rain and mist with ceiling 1,700 feet broken, 2,300 overcast. Recorded radar data showed that the flight crossed the coast of Hawaii at 0122, descending through 7,400 feet tracking southeast bound toward the northern slopes of Mauna Kea and Hilo beyond. The last recorded position of the aircraft was about 26 miles northwest of the accident site at a mode C reported altitude of 6,400 feet. At 0130, the controller informed the pilot that radar contact was lost and also said that at the airplane's altitude, radar coverage would not be available inbound to Hilo. The controller terminated radar services. A witness who lived in the immediate area of the accident site reported that around 0130 he heard a low flying airplane coming from the north. He alked outside his residence and observed an airplane fly over about 500 feet above ground level (agl) traveling in the direction of the accident site about 3 miles east. The witness said that light rain was falling and he could see a half moon, which he thought provided fair illumination. The area forecast in effect at the time of the flight's departure called for broken to overcast layers from 1,000 to 2,000 feet, with merging layers to 30,000 feet and isolated cumulonimbus clouds with tops to 40,000 feet. It also indicated that the visibility could temporarily go below 3 statute miles. The debris path extended about 500 feet along a magnetic bearing of 100 degrees with debris scattered both on the ground and in tree branches. Investigators found no anomalies with the airplane or engines that would have precluded normal operation. Pilots for the operator typically departed under VFR, even in night conditions or with expectations of encountering adverse weather, to preclude ground holding delays. The pilots would then pick up their instrument flight rules (IFR) clearance en route. The forecast and actual weather conditions at Hilo were below the minimums specified in the company Operations Manual for VFR operations.",Human factor
2/4/2004,22H 33M 0S,Ilyushin II-18,Expo Aviation,EX-005,Landing (descent or approach),Cargo,Yes,Airport (less than 10 km from airport),Dubai – Colombo,188 0111 05,1968,NA,Colombo-Bandaranaike Western Province (<U+0BAE><U+0BC7><U+0BB2><U+0BCD> <U+0BAE><U+0BBE><U+0B95><U+0BBE><U+0BA3><U+0BAE><U+0BCD>),Sri Lanka,Asia,7,0,0,0,0,0,"Following an uneventful cargo flight from Dubai, the crew started the descent to Colombo-Bandaranaike Airport by night and good weather conditions, using a GPS and DME systems. After being cleared to descend to FL150, the crew received the QNH and QFE values for Colombo: 1009 mb (hectopascals) and 756 mm Hg. The copilot mistakenly input 765 mm Hg instead of 756 mm Hg in the altimeters. At a distance of 14 km from the airport, the aircraft was 60 metres above the sea. It continued to descend until the undercarriage struck the water surface at a distance of 10,7 km from the runway 04 threshold. The captain decided to initiate a go-around procedure but shortly later, at a height of about 60-90 metres, he continued the approach. Assuming the undercarriage may have been damaged, he decided to carry out a belly landing. The aircraft landed 50 metres to the right of the main runway and 450 metres past its threshold. The aircraft then slid for a distance of 2,230 before coming to rest. All seven occupants escaped uninjured and the aircraft was damaged beyond repair.",Human factor
2/13/2004,6H 15M 0S,Cessna 414 Chancellor,Charter Air,OE-FRW,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),Yes,Airport (less than 10 km from airport),Linz - Stuttgart,414-0825,1975,NA,Linz-Hörsching Upper Austria,Austria,Europe,2,0,5,0,0,0,"The twin engine aircraft departed Linz-Hörsching Airport on a taxi flight to Stuttgart with five passengers and two pilots on board. During the takeoff roll on runway 27, at a speed of 105 knots, the crew started the rotation. Immediately after liftoff, the aircraft adopted a high nose attitude with an excessive angle of attack. It rolled to the left, causing the left gear door and the left propeller to struck the runway surface, followed shortly later by the right propeller. After the speed dropped, the aircraft stalled and crash landed on the runway. It slid for few dozen metres and came to rest 2,752 metres past the runway threshold. All seven occupants were evacuated, one passenger suffered serious injuries. The aircraft was damaged beyond repair.",Human factor
2/17/2004,2H 57M 0S,Beechcraft 90 King Air,Ballard Aviation,N777KU,Landing (descent or approach),Ambulance,No,Airport (less than 10 km from airport),Wichita - Dodge City,LJ-377,1968,NA,Dodge City Kansas,United States of America,North America,1,1,2,2,0,3,"The emergency medical services (EMS) airplane was destroyed by terrain impact and post impact fire about 7 nautical miles (nm) west of its destination airport, Dodge City Regional Airport (DDC), Dodge City, Kansas. The 14 Code of Federal Regulations Part 91 positioning flight departed the Wichita Mid-Continental Airport (ICT), Wichita, Kansas, about 0215 central standard time and was en route to DDC. Night visual meteorological conditions prevailed when the accident occurred about 0257 central standard time. The flight had been on an instrument flight rules (IFR) flight plan, but the pilot cancelled the IFR flight plan about 34 nm east of DDC and initiated a descent under visual flight rules. Radar track data indicated that the airplane maintained a magnetic course of about 265 degrees during the flight from ICT to DDC. The rate of descent was about 850 to 950 feet per minute. During the descent, the airplane flew past the airport on a 270 degree course. Witnesses in the area reported hearing the engine noise of a low-flying airplane followed by the sound of impact. One of the witnesses described the engine noise as sounding like the engines were at ""full throttle."" The on-site inspection revealed that the airplane impacted the terrain in a gear-up, wings-level attitude. The inspection of the airplane revealed no anomalies to the airframe or engines. A review of the pilot's 72-hour history before the accident revealed that it had been 14 hours and 32 minutes from the time the pilot reported for duty about 1225 central standard time until the time of the accident. It had been 20 hours 57 minutes from the time the pilot awoke (0600) on the morning before the accident until the time of the accident. No evidence of pilot impairment due to carbon monoxide, drugs, or medical incapacitation was found. The accident occurred during a time of day that was well past the pilot's normal bedtime and also at a time of day when the physiological need to sleep is especially strong. The findings from a Safety Board's human performance analysis indicates that the pilot was likely fatigued. A review of 14 CFR 135.267 indicated that the pilot had adhered to the flight time limitations and rest requirements specified in the regulation.",Human factor
2/18/2004,13H 52M 0S,Piper PA-31-310 Navajo,Quickway Air Services,C-GPTE,Landing (descent or approach),Ferry,Yes,Airport (less than 10 km from airport),Honolulu – Oakland – Brooks,31-7712059,1977,NA,Kahului Hawaii,United States of America,North America,1,0,0,0,0,0,"The airplane collided with terrain 200 yards short of the runway during an emergency landing following a loss of engine power. The pilot was on an intermediate leg of a ferry trip. Approximately 300 miles from land, the fuel flow and boost pump lights illuminated. Then, the right engine failed. The pilot flew back to the nearest airport; however, approximately 200 yards from the runway, the airplane stalled and the right wing dropped and collided with the ground. The fuel system had been modified a few months prior to the accident to allow for a ferry fuel tank installation. Post accident examination of the airplane could not find a reason for the power loss.",Human factor
2/19/2004,16H 43M 0S,Rockwell Shrike Commander 500,Tasair,VH-LST,Flight,Ferry,No,"Plain, Valley",Hobart – Devonport,500-3111,1971,NA,Hobart Tasmania,Australia,Oceania,1,1,0,0,0,1,"The aircraft commenced taxying at Hobart for a Visual Flight Rules (VFR) ferry flight to Devonport. The pilot, who was the sole occupant, reported a departure time of 1643 to air traffic control, with an intention to climb to 8,500 ft and to fly a track of 319 degrees magnetic. Due to following traffic, the pilot was required to report leaving specific altitudes. At 1646, the pilot reported leaving 4,500 ft, and was advised that air traffic services were terminated. The acknowledgement of that call was the last communication heard from the pilot. At about 1800, the operator’s staff at Devonport advised the Hobart base that the aircraft had not arrived. The operator advised AusSAR and the Hobart air traffic control tower, and organised company search aircraft from both Hobart and Devonport. The non-flying occupant of the Hobart search aircraft sighted the wreckage at about 1930. Shortly after, a search and rescue helicopter arrived at the accident site. The pilot of the aircraft was found fatally injured in the wreckage. The wreckage was located 58 km from Hobart airport on a bearing of 320 degrees magnetic. Based on predictions of aircraft performance and the distance of the accident site from Hobart, the estimated time of the accident was 1656. There were no eyewitnesses to the accident. Aircraft flight profile The aircraft was not equipped with a flight data recorder or cockpit voice recorder, nor was it required to be. As such, and given that the aircraft was operating outside of radar coverage, there was no recorded flight profile information available. The pilot was not required to report cruising at 8,500 ft and there was no evidence to confirm that the aircraft had reached that altitude. However, based on the normal climb and cruise performance, forecast winds and the radio broadcasts made by the pilot, the aircraft should have reached an altitude of 8,500 ft approximately 35 km from Hobart at about 1651, which was 5 minutes prior to the estimated time of the accident at 1656.",Unknown
2/20/2004,21H 57M 0S,Learjet 25,Skylink Jets,N24RZ,Landing (descent or approach),Ambulance,Yes,Airport (less than 10 km from airport),San Juan – Fort Lauderdale,25-159,1974,NA,Fort Lauderdale-Executive Florida,United States of America,North America,2,0,2,0,0,0,"The captain and first officer were conducting a CFR Part 135 on-demand charter flight, returning two passengers to the accident airplane's base airport. The multi-destination flight originated from the accident airport, about 16 hours before the accident. On the final leg of the flight, the flight encountered stronger than anticipated headwinds, and the first officer voiced his concern several times about the airplane's remaining fuel. As the flight approached the destination airport, the captain became concerned about having to fly an extended downwind leg, and told the ATCT specialist the flight was low on fuel. The ATCT specialist then cleared the accident airplane for a priority landing. According to cockpit voice recorder (CVR) data, while the crew was attempting to lower the airplane's wing flaps in preparation for landing, they discovered that the flaps would not extend beyond 8 degrees. After the landing gear was lowered, the captain told the first officer, in part: ""The gear doors are stuck down.... no hydraulics."" The captain told the first officer: ""Okay, so we're gonna do, this is gonna be a ref and twenty...All right, probably not going to have any brakes..."" According to a ATCT specialist in the control tower, the airplane touched down about midway on the 6001-foot long, dry runway. It continued to the end of the runway, entered the overrun area, struck a chain link fence, crossed a road, and struck a building. During a postaccident interview, the captain reported that during the landing roll the first officer was unable to deploy the airplane's emergency drag chute. He said that neither he nor the first officer attempted to activate the nitrogen-charged emergency brake system. The accident airplane was not equipped with thrust reversers. A postaccident examination of the accident airplane's hydraulic pressure relief valve and hydraulic pressure regulator assembly revealed numerous indentations and small gouges on the exterior portions of both components, consistent with being repeatedly struck with a tool. When the hydraulic pressure relief valve was tested and disassembled, it was discovered that the valve piston was stuck open. The emergency drag chute release handle has two safety latches that must be depressed simultaneously before the parachute will activate. An inspection of the emergency drag chute system and release handle disclosed no pre accident mechanical anomalies.",Human factor
2/23/2004,11H 0M 0S,Embraer EMB-820 Navajo/Carajá,Bem-Te-Vi Táxi Aéreo,PT-EBU,Flight,Ferry,No,"Plain, Valley",Picos – Teresina,820-005,1975,NA,Monsenhor Gil Piauí,Brazil,South America,2,2,0,0,0,2,"Following several flights during the last days, the crew departed Picos on the last leg to Teresina. While descending to Teresina-Senador Petrônio Portella Airport, the crew informed ATC about the failure of the left engine and reduced his altitude to attempt an emergency landing. The aircraft struck a tree and crashed in an open field located about 800 metres from a road. The wreckage was found 51 km southeast of Teresina Airport. Both pilots were killed.",Technical failure
2/24/2004,5H 49M 0S,Cessna 500 Citation,City-Jet Luftfahrt,OE-FAN,Landing (descent or approach),Ambulance,No,Mountains,Rome – Cagliari,500-0289,1976,NA,Cagliari Sardinia,Italy,Europe,3,3,3,3,0,6,"The aircraft departed Rome-Ciampino Airport on an ambulance flight to Cagliari, carrying three pilots, three doctors and a cooler containing a heart for a patient. The descent to Cagliari-Elmas Airport was initiated by night under VFR mode. After the crew was cleared to descend to 2,500 feet, ATC reported runway 32 in use and asked the crew to report on short final. About two minutes later, at an altitude of 3,333 feet, the aircraft struck the slope of Mt Su Baccu Malu located 32 km northeast of Cagliari Airport. The aircraft was totally destroyed by impact forces and all six occupants were killed.",Human factor
3/4/2004,9H 40M 0S,Ilyushin II-76,Azov-Avia Airlines,UR-ZVA,Takeoff (climb),Cargo,Yes,Airport (less than 10 km from airport),Ankara – Bakou – Kabul,00634 68036,1986,NA,Baku-Heydar Aliyev (Bina) Absheron,Azerbaijan,Asia,7,3,0,0,0,3,"The aircraft departed Ankara, Turkey, on a cargo flight to Kabul, Afghanistan, with an intermediate stop in Baku, Azerbaijan. In Ankara, the airplane was loaded with 39,980 kg of cargo. At Baku Airport, 47 tons of fuel were added, bringing the takeoff weight to 189 tons, and the centre of gravity to 29,3% MAC, which was within the prescribed limits. During the eight-hour stopover the crew decided to rest in the aircraft instead of a hotel. As the aircraft started taxiing to the runway the flight engineer was heard saying that he would select the flaps at 30 degrees and slats at 14 degrees for takeoff. This however was not done. Prior to takeoff the position of the flaps was not verified by any of the crew members. Takeoff was thus commenced with flaps and slats retracted and the stabilizer trimmed at the takeoff position -4 degrees (corresponding to actual takeoff weight, CofG and flaps at 30°). At a speed of 210 km/h the pilot pulled on the control column to lift off the nose gear. At a calculated unstick speed of 265 km/h the angle of attack reached 9 degrees but the plane did not lift off the runway. Accelerating through 290 km/h the angle of attack of the aircraft reached 14,5 degrees, setting off the angle of attack warning on the flight deck. Some 1750 meters down the runway, the aft fuselage struck the runway. Seventy meters further on, at a speed of 300 km/h and an angle of attack of 19,4°, the Ilyushin lifted off the runway. The air traffic controller who witnessed the departure advised the crew to abort the takeoff, but the captain apparently continued. The airplane rolled to the left until the wing contacted the runway. Then the flight engineer noted his error and, without informing the captain, began extending the flaps and slats. Again without informing the captain, the flight engineer brought back the power levers of the four engines to idle. After three seconds he moved them from idle to the 'engine shutdown' position. The captain three times yelled ""takeoff"" but the engines were already shut down. After flying for 490 meters the aircraft struck the ground and crashed.",Human factor
3/19/2004,6H 45M 0S,Learjet 35,AirNet Systems,N800AW,Landing (descent or approach),Cargo,Yes,Airport (less than 10 km from airport),Columbus - Utica,35-149,1977,NA,Utica New York,United States of America,North America,2,0,0,0,0,0,"The copilot was flying an ILS approach at an airspeed of Vref plus 10 knots, and the captain made visual contact with the runway about 350 feet agl. The airplane then drifted high on the glideslope, and the copilot decreased engine power. The sink rate subsequently became too great. By the time the captain called for a go-around, the airspeed had deteriorated, and the stick shaker activated. Although power was applied for the go-around, the airplane impacted the runway in a level attitude before the engines spooled up. The airplane came to rest in snow, about 20 feet off the left side of the runway, near mid-field.",Human factor
3/25/2004,5H 33M 0S,Mitsubishi MU-2 Marquise,Royal Air Freight - Royal Air Charter,N201UV,Flight,Cargo,No,"Plain, Valley",Pontiac – Rockford – Hagerstown – Bangor,680,1975,NA,Pittsfield Massachusetts,United States of America,North America,1,1,NA,0,0,1,"Approximately 3 minutes prior to the accident, the airplane was flying in a northeast direction, at 17,100 feet, and was instructed by air traffic controllers to contact Boston Center. He acknowledged the instruction, and no further transmissions were received from the pilot. Radar data indicated the airplane continued level at 17,100 feet on a northeasterly heading, and maintained a groundspeed of 255 knots, for approximately 2 minutes after the last transmission. The airplane then climbed 300 feet, and descended abruptly, losing 10,700 feet during the next 46 seconds, while maintaining an approximate ground speed of 255 knots. The airplane then initiated a climb from 6,700 feet to 7,600 feet, maintained an altitude of 7,600 feet for 4 seconds, and then entered a continuous descent until the last radar contact 17 seconds later, at an altitude of 2,400 feet. Several witnesses observed the airplane prior to it impacting the ground. All of the witness described the airplane in a ""flat spin"" with the engines running prior to impact. Examination of recorded weather data revealed several areas of light-to-moderate precipitation echoes in the vicinity of the accident site. The maximum echo tops were depicted ranging from 14,000 to 25,000 feet, with tops near 17,000 feet in the immediate vicinity of the accident site. Recorded radar images depicted the airplane traveling through an area of lower echoes for approximately 5-minutes immediately prior to the accident. AIRMET Zulu was current for icing conditions from the freezing level to 22,000 feet over the route of flight and the accident site. Four PIREPs were also issued indicating light-to-moderate rime to mixed icing in the clouds from the freezing level to 16,000 feet. Cloud tops were reported from 16,000 to 17,000 feet by two aircraft. Examination of the airplane and engines revealed no pre-impact mechanical anomalies. Additionally, examination of the cockpit overhead switch panel indicated propeller de-ice, engine intake heat, windshield anti-ice, and wing de-ice were all in the 'off' position. According to the pilot's toxicology test results, pseudoephedrine and diphenhydramine was detected in the pilot's urine. Diphenhydramine was not detected in the blood.",Unknown
3/31/2004,12H 35M 0S,Cessna 402,Tropic Air Charters,N269JH,Landing (descent or approach),Cargo,Yes,Airport (less than 10 km from airport),Fort Lauderdale – Walker’s Cay,402B-1213,1976,NA,Walker's Cay North Abaco,Bahamas,Central America,1,0,0,0,0,0,"On March 31, 2004, about 1235 eastern standard time, a Cessna 402B, N269JH, registered to and operated by Tropic Air Charters, Inc., experienced collapse of all landing gears at the Walker's Cay Airport, Walker's Cay, Bahamas. Visual meteorological conditions prevailed at the time and a visual flight rules flight plan was filed for the 14 CFR Part 135 on-demand, non-scheduled, international, cargo flight from the Fort Lauderdale Executive Airport, Fort Lauderdale, Florida, to the Walker's Cay Airport, Walker's Cay, Bahamas. The airplane was substantially damaged and the commercial-rated pilot, the sole occupant, was not injured. The flight originated about 45 minutes earlier from the Fort Lauderdale Executive Airport. The pilot stated that after landing, the right wing tipped down in what appeared to be a flat tire. He attempted to maintain control of the airplane using the rudder and was successful until the airplane rolled approximately 1,000 feet. The airplane then veered to the right and collided with a tree. The left wing and fuselage were damaged.",Technical failure
4/2/2004,5H 0M 0S,Boeing 707,Air Memphis,SU-AVZ,Takeoff (climb),Cargo,Yes,Airport (less than 10 km from airport),Cairo - Ostend,20762,1973,NA,Cairo-Intl Cairo,Egypt,Africa,7,0,0,0,0,0,"During a night takeoff from Cairo-Intl Airport runway 23L, the right main gear collapsed. The aircraft went out of control, veered off runway to the right and came to rest few hundred metres further with both right engines n°3 & 4 torn off. All seven occupants escaped uninjured.",Technical failure
4/3/2004,NA,Canadair CL-66 Cosmopolitan,Central African Cargo,3D-ZOE,Landing (descent or approach),Cargo,Yes,Airport (less than 10 km from airport),NA,CL-66B-6,NA,NA,Shabunda Sud-Kivu,Democratic Republic of Congo,Africa,3,0,1,0,0,0,"For unknown reasons, the aircraft landed hard at Shabunda Airport. Upon landing, the nose gear collapsed and the airplane came to rest on the runway. Nobody was injured but the airplane was damaged beyond repair.",Human factor
4/19/2004,10H 18M 0S,Beechcraft 100 King Air,Myrand Aviation,C-FMAI,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Yes,Airport (less than 10 km from airport),Quebec - Chibougamau,B-145,1973,NA,Chibougamau Quebec,Canada,North America,2,0,3,0,0,0,"The Beechcraft A100, registration C-FMAI, operated by Myrand Aviation Inc., was on a chartered instrument flight rules flight from QuÈbec/Jean Lesage International Airport, Quebec, to Chibougamau/Chapais Airport, Quebec, with two pilots and three passengers on board. The copilot was at the controls and was flying a non-precision approach for Runway 05. The pilot-in-command took the controls less than one mile from the runway threshold and saw the runway when they were over the threshold. At approximately 1018 eastern daylight time, the wheels touched down approximately 1500 feet from the end of Runway 05. The pilot-in-command realized that the remaining landing distance was insufficient. He told the co-pilot to retract the flaps and applied full power, but did not reveal his intentions. The co-pilot cut power, selected reverse pitch and applied full braking. The aircraft continued rolling through the runway end, sank into the gravel and snow, and stopped abruptly about 500 feet past the runway end. The aircraft was severely damaged. None of the occupants were injured.",Human factor
