Date,Time,Aircraft,Operator,Registration,Flight phase,Flight type,Survivors,Crash site,Schedule,MSN,YOM,Flight no.,Crash location,Country,Region,Crew on board,Crew fatalities,Pax on board,PAX fatalities,Other fatalities,Total fatalities,Circumstances,Crash cause
2/18/2004,11H 30M 0S,Beechcraft 90 King Air,Spanish Air Force - Ejército del Aire,E.22-03,Flight,Training,No,Airport (less than 10 km from airport),Madrid-Getafe - Madrid-Getafe,LJ-624,1974,NA,Madrid-Getafe Madrid,Spain,Europe,2,2,0,0,0,2,"The crew was completing a local training flight at Madrid-Getafe AFB when the aircraft crashed in unknown circumstances near Parla, about 8 km south of the airbase. The aircraft was destroyed and both pilots were killed.",Unknown
2/20/2004,21H 57M 0S,Learjet 25,Skylink Jets,N24RZ,Landing (descent or approach),Ambulance,Yes,Airport (less than 10 km from airport),San Juan – Fort Lauderdale,25-159,1974,NA,Fort Lauderdale-Executive Florida,United States of America,North America,2,0,2,0,0,0,"The captain and first officer were conducting a CFR Part 135 on-demand charter flight, returning two passengers to the accident airplane's base airport. The multi-destination flight originated from the accident airport, about 16 hours before the accident. On the final leg of the flight, the flight encountered stronger than anticipated headwinds, and the first officer voiced his concern several times about the airplane's remaining fuel. As the flight approached the destination airport, the captain became concerned about having to fly an extended downwind leg, and told the ATCT specialist the flight was low on fuel. The ATCT specialist then cleared the accident airplane for a priority landing. According to cockpit voice recorder (CVR) data, while the crew was attempting to lower the airplane's wing flaps in preparation for landing, they discovered that the flaps would not extend beyond 8 degrees. After the landing gear was lowered, the captain told the first officer, in part: ""The gear doors are stuck down.... no hydraulics."" The captain told the first officer: ""Okay, so we're gonna do, this is gonna be a ref and twenty...All right, probably not going to have any brakes..."" According to a ATCT specialist in the control tower, the airplane touched down about midway on the 6001-foot long, dry runway. It continued to the end of the runway, entered the overrun area, struck a chain link fence, crossed a road, and struck a building. During a postaccident interview, the captain reported that during the landing roll the first officer was unable to deploy the airplane's emergency drag chute. He said that neither he nor the first officer attempted to activate the nitrogen-charged emergency brake system. The accident airplane was not equipped with thrust reversers. A postaccident examination of the accident airplane's hydraulic pressure relief valve and hydraulic pressure regulator assembly revealed numerous indentations and small gouges on the exterior portions of both components, consistent with being repeatedly struck with a tool. When the hydraulic pressure relief valve was tested and disassembled, it was discovered that the valve piston was stuck open. The emergency drag chute release handle has two safety latches that must be depressed simultaneously before the parachute will activate. An inspection of the emergency drag chute system and release handle disclosed no pre accident mechanical anomalies.",Human factor
2/24/2004,5H 49M 0S,Cessna 500 Citation,City-Jet Luftfahrt,OE-FAN,Landing (descent or approach),Ambulance,No,Mountains,Rome – Cagliari,500-0289,1976,NA,Cagliari Sardinia,Italy,Europe,3,3,3,3,0,6,"The aircraft departed Rome-Ciampino Airport on an ambulance flight to Cagliari, carrying three pilots, three doctors and a cooler containing a heart for a patient. The descent to Cagliari-Elmas Airport was initiated by night under VFR mode. After the crew was cleared to descend to 2,500 feet, ATC reported runway 32 in use and asked the crew to report on short final. About two minutes later, at an altitude of 3,333 feet, the aircraft struck the slope of Mt Su Baccu Malu located 32 km northeast of Cagliari Airport. The aircraft was totally destroyed by impact forces and all six occupants were killed.",Human factor
2/26/2004,7H 45M 0S,Beechcraft 200 Super King Air,Macedonian Government,Z3-BAB,Landing (descent or approach),Government,No,Mountains,Skopje – Mostar,BB-652,1980,NA,Berkovici Republika Srpska,Bosnia and Herzegovina,Europe,2,2,7,7,0,9,"The twin engine aircraft departed Skopje on an official flight to Mostar, carrying two pilots and seven passengers, among them Boris Trajkovski, President of the Republic of Macedonia. He was flying to Mostar with members of his government to take part to an economic conference. On approach by night and limited visibility due to marginal weather conditions, the aircraft struck the slope of a mountain located near Berkovici, about 32 km southeast of the airport. The aircraft was destroyed by impact forces and a post crash fire and all nine occupants were killed.",Human factor
3/8/2004,11H 0M 0S,Canadair CL-415,Sécurité civile française,F-ZBEZ,Landing (descent or approach),Training,Yes,"Lake, Sea, Ocean, River",Marseille - Marseille,2018,1996,NA,Les Salles-sur-Verdon Var,France,Europe,3,2,0,0,0,2,"One instructor and two pilots under supervision departed Marseille-Marignane Airport on a training flight. Several scooping manoeuvres were completed on the Sainte-Croix Lake located about 85 km northeast of Marseille. While completing a new scooping procedure, the aircraft approached in a high nose attitude and disintegrated upon landing. The main wreckage sank to a depth of 31 metres off Les Salles-sur-Verdon. One pilot was found alive but seriously injured due to hypothermia (the water temperature was 6° C) while both other occupants, Jean Beauvais and Jean-Pierre Laty, were killed.",Human factor
3/10/2004,20H 42M 0S,Cessna 560 Citation Encore,United States Marine Corps,165938,Landing (descent or approach),Training,No,Airport (less than 10 km from airport),Grand Junction - Miramar,560-0567,2000,NA,Miramar NAS (San Diego) California,United States of America,North America,2,2,2,2,0,4,"The crew was returning to Miramar NAS following a routine training mission in Grand Junction. On final approach to Miramar NAS by night, the aircraft crashed near the interstate 15, about 2,400 metres short of runway 24R. The aircraft was destroyed and all four occupants were killed. A weather observation taken from the base at 2045LT reported five-mile visibility with light fog or haze, and a cloud ceiling at 800 feet. Crew: Lt Col T. Nicholson, Lt Col Robert Zeisler. Passengers: Sgt Francisco Cortez, Cpl Jeremy Lindroth.",Unknown
3/16/2004,4H 1M 0S,Beechcraft 1900C,United States Air Force - USAF,N27RA,Landing (descent or approach),Military,No,"Plain, Valley",Groom Lake - Tonopah,UB-37,1985,NA,Tonopah Nevada,United States of America,North America,1,1,4,4,0,5,"The Air Force Materiel Command Beech 1900 crashed while on a routine support mission from a remote classified airstrip on the Nellis range to the Tonopah Test Range. It departed at 03:43 for Tonopah. After reporting the runway lights in sight, the pilot configured the airplane for the approach and initiated a circling maneuver to the right for a visual straight-in approach to runway 32. During the turn the pilot suffered a sudden cardiac death. Half way through the turn the airplane began a gradual descent until it impacted the ground. The airplane broke up and burst into flames. Investigation revealed that the pilot had violated federal policy and directives, wilfully deceived flight medical examiners, suppressed significant medical information and ingested inappropriate medications for a deteriorating and dangerous health condition. The pilot had high blood pressure and failed to report it, and denied taking medications to his Federal Aviation Administration flight physical examiners.",Human factor
4/4/2004,NA,Antonov AN-32,Peruvian Armed Forces - Ejército del Perú,EP-837,Landing (descent or approach),Military,Yes,Airport (less than 10 km from airport),NA,35 06,1995,NA,Puerto Esperenza Ucayali,Peru,South America,0,0,0,0,0,0,"For unknown reasons, the aircraft landed hard, causing the undercarriage to be torn off. There were no casualties but the aircraft was damaged beyond repair.",Human factor
4/16/2004,14H 50M 0S,Beechcraft 200 Super King Air,Air Archipels,F-OHJL,Takeoff (climb),Test,Yes,"Lake, Sea, Ocean, River",Papeete - Papeete,BB-1592,1997,NA,Papeete Tahiti,French Polynesia,Oceania,1,0,1,0,0,0,"The aircraft departed Papeete-Faaa on a local post maintenance flight with one engineer and one pilot on board. Shortly after takeoff, while in initial climb, the pilot informed ATC about control problems and elected to return. Unable to maintain control, he decided to ditch the aircraft few hundred metres offshore. The aircraft sank by a depth of 21 metres and both occupants were able to swim to shore.",Technical failure
5/2/2004,17H 50M 0S,Rockwell Gulfstream 690C Jetprop 840,Procuraduría General de la República,XC-JEH,Flight,Government,No,"Plain, Valley",Ciudad Juárez – Mexico City,690-11678,1981,NA,Milpillas Aguascalientes,Mexico,Central America,2,2,5,5,0,7,"On May 2, 2004, at 1600 central daylight time, a Twin Commander 840 twin turbo-prop airplane, Mexican registration XC-JEH, was destroyed following a loss of control following an encounter with weather while in cruise flight near Milpillas, State of Aguas Calientes, in the Republic of Mexico. The airline transport rated pilot, first officer and the 5 passengers on board were fatally injured. The public use flight originated from Ciudad Juarez, State of Chihuahua, approximately 1400, and was destined for the Mexico City International Airport, in Mexico City. Instrument meteorological conditions prevailed for the domestic cross-country flight for which an instrument flight rules (IFR) flight plan was filed.",Weather
5/4/2004,11H 45M 0S,Cessna 208B Grand Caravan,Venezuelan Government,YV-O-CBL-7,Flight,Government,No,Mountains,Ciudad Bolívar – Uonquén,208B-0926,2001,NA,Mt Awakapa Tepuy (Chimanta) Bolívar,Venezuela,South America,2,2,5,5,0,7,"The single engine aircraft departed Ciudad Bolívar at 1016LT on a flight to Uonquén, State of Bolívar. En route, around 1100LT, the pilot reported flying at 11,500 feet in poor weather conditions. About 45 minutes later, while cruising at an altitude of 7,000 feet, the aircraft struck the slope of Mt Awakapa Tepuy located in the Chimanta Mountain Range. All seven occupants were killed, among them two church women.",Human factor
5/5/2004,13H 0M 0S,Swearingen SA227 Metro III,Aerotransporte Petrolero,HK-4275X,Landing (descent or approach),Executive/Corporate/Business,Yes,Airport (less than 10 km from airport),Bogotá – Carepa,AC-676,1987,NA,Carepa Antioquia,Colombia,South America,2,2,5,3,0,5,"Following an uneventful flight from Bogotá-El Dorado Airport, the crew started the approach to Carepa-Los Cedros Airport, the copilot was the pilot-in-command. On final approach, the captain took over controls and continued the descent when the GPWS alarm sounded seven times. For unknown reasons, the captain failed to respond to this situation and did not proceed with any corrective actions. On short final, at a height of about 200 feet, one of the engine failed. The crew failed to follow the published procedures, causing the aircraft to stall and to crash about 100 metres short of runway 33. Two passengers were seriously injured while five other occupants were killed.",Human factor
5/6/2004,13H 58M 0S,Transall C-160,French Air Force - Armée de l'Air,R100/F-RAZR,Taxiing,Test,Yes,Airport (less than 10 km from airport),Fort-de-France - Fort-de-France,F100,1970,NA,Fort-de-France Martinique,Martinique,Central America,8,0,0,0,0,0,"The aircraft was engaged in a local post maintenance test flight at Fort-de-France-Le Lamentin Airport, carrying five technicians and three crew members on behalf of the Escadron de Transport Outremer 58. After engine startup, the crew started to taxi when a fire erupted. The aircraft was stopped on the ramp and all eight occupants escaped uninjured. Within three minutes, fire bombers were on site and extinguished the fire. Nevertheless, the aircraft was damaged beyond repair.",Technical failure
6/14/2004,13H 40M 0S,De Havilland DHC-2 Beaver,Alain Bourbonnais,C-GJST,Landing (descent or approach),Training,No,"Lake, Sea, Ocean, River",Gatineau - Gatineau,1368,1959,NA,Gatineau Quebec,Canada,North America,1,1,0,0,0,1,"The pilot and sole occupant of the DHC-2 seaplane, registration C-GJST, serial number 1368, was on his first flight of the season on the Ottawa River at Gatineau, Quebec. This training flight, conducted according to visual flight rules, was to consist of about 12 touch-and-go landings. The aircraft took off at approximately 1300 eastern daylight time, and made several upwind touch-and-go landings in a westerly direction. At approximately 1340 eastern daylight time, the aircraft was seen about 50 feet above the surface of the water proceeding downwind in an easterly direction, in a nose-down attitude of over 20 degrees. The right float then struck the water and the aircraft tumbled several times, breaking up on impact. Despite the waves and gusting wind on the river, some riverside residents who witnessed the accident attempted a rescue, but the aircraft sank before they could reach it. Even though the pilot was wearing a seat-belt, he sustained head injuries at impact and drowned.",Unknown
6/23/2004,19H 41M 0S,Dornier DO228,Islandsflug,TF-ELH,Landing (descent or approach),Training,Yes,Airport (less than 10 km from airport),Sauðárkrókur - Siglufjörður,8070,1985,NA,Siglufjörður Northeastern Region (Norðurland eystra),Iceland,Europe,2,0,0,0,0,0,"Following an uneventful passenger flight from Reykjavik to Sauðárkrókur, the crew decided to fly to Siglufjörður Airport to perform a competence control flight for this airfield. On approach in good weather conditions (visibility over 10 km with clouds at 1,500 feet), the captain disconnected the GPWS system to avoid repetitive alarms. After landing on runway 07, he attended to perform a touch-and-go so he increased engine power and took off. During initial climb, the landing gears were raised and the crew made a right hand turn circuit at an altitude of 500 feet. Following a second approach to runway 07, the aircraft landed on its belly and slid for 280 metres before coming to rest. Both pilots evacuated safely while the aircraft was damaged beyond repair.",Human factor
7/2/2004,13H 38M 0S,IAI 1124 Westwind,Air Ambulance by Air Trek,N280AT,Takeoff (climb),Ambulance,No,Airport (less than 10 km from airport),Quito – Panama City – Washington DC – Milan,247,1979,NA,Panama City-Tocumen Panamá,Panama,Central America,2,2,4,4,1,7,"On July 2, 2004, at 1338 eastern standard time, a U.S. registered Westwind model 1124 corporate jet, N280AT, operated by Air Trek, Inc., as a Part 135 commercial air ambulance flight, impacted terrain and crashed into a building after departing from the Tocumen International Airport (MPTY), Tocumen, Panama. The airplane was destroyed by impact forces and post-crash fire. All six occupants on the airplane were fatally injured. A seventh person was also fatally injured on the ground. Visual meteorological conditions prevailed, and an instrument flight rules (IFR) flight plan was filed. The flight originated from Quito, Ecuador, and stopped in Tocumen for fuel. The flight was destined for Milan, Italy, via another fuel and crew-change stop at the Dulles International Airport, near Washington, DC. According to the operator, the airplane was flown with the two pilots and two flight nurses from Punta Gorda, Florida, to Guayaquil, Ecuador, on July 1, 2004. The airplane was refueled with 450 gallons of Jet A upon arrival, and remained overnight. On July 2, 2004, the airplane was fueled with an additional 150 gallons of Jet A, and subsequently departed for Quito, Ecuador. Upon arriving in Quito, two passengers were boarded, and the flight departed for Panama, where it would be refueled. The airplane was not fueled during the stop in Quito. According to the Panama Autoridad Aeronautica Civil, the flight landed in Panama uneventfully, and proceeded to the north ramp at the main terminal. The flightcrew requested from ground service personnel that the airplane be refueled with 600 gallons of Jet A. The flightcrew specifically requested that 500 gallons of fuel be added utilizing the pressure point fueling station, and 100 gallons be added to the auxiliary tank, utilizing a gravity filler port. After refueling, the airplane was started and taxied to runway 03L. An air traffic controller observed the airplane as it began to takeoff. He recalled that, ""It pitched up vertically, the nose then lowered, and the wings rocked side to side. The airplane then veered to the right and descended out of view."" A witness, who was located north of the accident site, observed the airplane veering to the right, before descending from his view. The airplane impacted the ground on taxiway Hotel, north of taxiway Bravo, and a fire ensued. The right wing and right engine separated from the fuselage and fragmented into multiple pieces. The vertical stabilizer impacted the ground, and separated from the fuselage. The main fuselage, left wing, and left engine continued across a grass field, where it struck an airport worker, and impacted a concrete wall. The airplane continued through the wall, and came to rest inverted inside a building. Airport crash fire and rescue responded to the accident, and contained the post crash fire within 3 minutes. The wreckage path was oriented on a heading of about 80 degrees. Ground scars on the taxiway were consistent with the right wing tip tank impacting the taxiway surface with the airplane in a nose high attitude, banked 90 degrees to the horizon. The scars continued forward, with the airplane rolling onto its back, collapsing the vertical stabilizer. About 35 feet beyond the vertical stabilizer impact point, scars were observed from the left tip tank. Debris from the cockpit and forward cabin area was observed in the grass area along the wreckage path. Airport personnel tested the fuel truck used to refuel the airplane for contamination after the accident. No abnormalities were noted. The cockpit voice recorder (CVR) was forwarded to the National Transportation Safety Board, Washington, D.C. for further review. The left and right engines, the horizontal stabilizer trim actuator, and the airplane's annunciator warning panel, were also retained for further examination.",Unknown
7/9/2004,18H 40M 0S,Canadair CL-215,SOREM - Società Ricerche Esperienze Meteorologiche,I-SRMB,Takeoff (climb),Fire fighting,Yes,"Lake, Sea, Ocean, River",Seia - Seia,1012,1979,NA,Chamadouro Beira Alta,Portugal,Europe,2,0,0,0,0,0,"Owned by SOREM, the aircraft was dispatched in Portugal and leased to OMNI - Aviação e Tecnologia for fire fighting missions. Following a scooping mission in the Aguíeira Reservoir off Chamadouro, the crew increased engine power and started a takeoff procedure when control was lost. The takeoff was abandoned but the aircraft collided with the shore and came to rest. Both pilots escaped uninjured and the aircraft was damaged beyond repair.",Human factor
7/13/2004,19H 20M 0S,Learjet 35,Aviation Jet Charters,N829CA,Landing (descent or approach),Ambulance,Yes,Airport (less than 10 km from airport),Sint Maarten - Nevis,35-459,1981,NA,Nevis-Newcastle-Vance W. Amory All Saint Kitts and Nevis,Saint Kitts and Nevis,Central America,2,0,2,0,0,0,"The flightcrew stated that approximately 8 miles out on a visual approach for runway 10 they requested winds and altimeter setting from the control tower. They received altimeter setting 29.95 inches Hg., and winds from 090 degrees at 20 knots. About 5 miles out, in full landing configuration, they checked wind conditions again, and were told 090 at 16 knots. They were holding Vref of 125 knots plus 10 knots on final. The approach was normal until they got a downdraft on short final. The airplane sank and they reacted by immediately adding engine power and increasing pitch, but the airplane continued to sink. The airplane's main landing gear came in contact with the top of the barbwire fencing at the approach end of the runway. The airplane landed short of the threshold. The airplane was under control during the roll out and they taxied to the ramp. A special weather observation was taken at the Vance W. Amory International Airport at 1930, 10 minutes after the accident. The special weather observation was winds 090 at 15 knots, visibility 10 statute miles, scattered clouds at 2,000, temperature 27 degrees centigrade, dewpoint temperature 23 degrees centigrade, altimeter setting 29.95 inches hg.",Weather
7/13/2004,1M 0S,Beechcraft 100 King Air,Little Red Air Service,C-FQOV,Landing (descent or approach),Ambulance,Yes,Airport (less than 10 km from airport),Grande Prairie – Fort Vermilion,B-38,1970,NA,Fort Vermilion Alberta,Canada,North America,2,0,3,0,0,0,"Crew twin engine aircraft was performing an ambulance flight from Grande Prairie to his base in Fort Vermilion with one patient, one doctor, one accompanist and two pilots on board. On final approach, the aircraft was too high and eventually landed hard. Upon touchdown, the right main gear collapsed and the aircraft veered off runway to the right and and came to rest. All five occupants escaped uninjured while the aircraft was damaged beyond repair.",Human factor
7/23/2004,9H 30M 0S,Basler BT-67,Salvadorian Air Force - Fuerza Aérea Salvadoreña,FAS117,Landing (descent or approach),Military,Yes,Airport (less than 10 km from airport),NA,24509,1944,NA,El Jaguey La Unión,Salvador,Central America,2,0,22,0,0,0,"After touchdown at El Jaguey Airstrip, the aircraft suffered a hydraulic failure and became uncontrollable. It veered off runway, lost its undercarriage and came to rest few dozen metres further. All 24 occupants evacuated safely while the aircraft was damaged beyond repair.",Technical failure
7/28/2004,13H 30M 0S,Rockwell Sabreliner 60,Policía Federal,XC-PFN,Landing (descent or approach),Government,Yes,Airport (less than 10 km from airport),Tijuana – Mexicali,306-111,1976,NA,Mexicali Baja California,Mexico,Central America,2,0,4,0,0,0,"Following an uneventful flight from Tijuana, the aircraft landed too far down the runway 28 at Mexicali-General Rodolfo Sanchez Taboada Airport. Unable to stop within the remaining distance, it overran, rolled for about 750 metres, collided with an embankment and came to rest in a sandy area. All six occupants escaped uninjured while the aircraft was damaged beyond repair. The aircraft had the dual registration XC-PFN (civil) and PF-213 (military).",Human factor
7/28/2004,10H 48M 0S,Piper PA-31 Cheyenne,D %26 R Henderson,VH-TNP,Landing (descent or approach),Executive/Corporate/Business,No,Mountains,Bankstown – Benalla,31-7920026,1979,NA,Benalla Victoria,Australia,Oceania,1,1,5,5,0,6,"At 0906 Eastern Standard Time on 28 July 2004, a Piper Aircraft Corporation PA31T Cheyenne aircraft, registered VH-TNP, with one pilot and five passengers, departed Bankstown, New South Wales on a private, instrument flight rules (IFR) flight to Benalla, Victoria. Instrument meteorological conditions at the destination necessitated an instrument approach and the pilot reported commencing a Global Positioning System (GPS) non-precision approach (NPA) to Benalla. When the pilot had not reported landing at Benalla as expected, a search for the aircraft was commenced. Late that afternoon the crew of a search helicopter located the burning wreckage on the eastern slope of a tree covered ridge, approximately 34 km southeast of Benalla. All occupants were fatally injured and the aircraft was destroyed by impact forces and a post-impact fire.",Human factor
7/29/2004,NA,PZL-Mielec AN-28,Flying Air Service,ES-ELI,Landing (descent or approach),Delivery,Yes,Airport (less than 10 km from airport),NA,1AJ002-06,1985,NA,Beni-Mavivi Nord-Kivu,Democratic Republic of Congo,Africa,0,0,0,0,0,0,"The twin engine aircraft crashed upon landing, lost its right and came to rest. There were apparently no casualties.",Unknown
8/3/2004,11H 59M 0S,Piper PA-61 Aerostar (Ted Smith 601),Aviation Flight Standards,N601BV,Takeoff (climb),Executive/Corporate/Business,No,Airport (less than 10 km from airport),Lakeway – Oklahoma City,61-0272-058,1976,NA,Lakeway Texas,United States of America,North America,1,1,5,5,0,6,"The commercial pilot, who managed the airplane and jointly owned it with one of the passengers, departed from a 3,930-foot-long, asphalt runway on a warm day. Weight and balance calculations, which investigators derived from estimated weights for total fuel, passengers, and cargo loads, determined that the airplane was likely within center of gravity limitations and about 208 pounds below its maximum gross weight. One witness stated that the airplane became airborne near the end of the runway before it began a shallow climb and clipped small branches on the tops of trees that were about 30 feet tall. That witness and others observed that the airplane continued past the trees, made a steep bank to the left, rolled inverted, and nose-dived to the ground. The witnesses' descriptions of the airplane's flightpath and the examination of the debris path and wreckage at the accident site are consistent with an impact following an aerodynamic stall. According to calculations performed using the airplane's published performance data chart, for the airplane's configuration and estimated weight and the density altitude conditions at the time of the accident, the airplane would have required about 3,800 feet on a paved, level runway to clear a 50-foot obstacle with the pilot using the short-field takeoff technique. Although the chart does not make any allowances for an upsloping runway or provide data for a 30-foot obstacle, the runway slope is slight (a 27-foot rise over the entire length) and likely did not significantly increase the airplane's takeoff roll, and interpolation of the data revealed no significant distance differences for the shorter obstacle. However, according to the chart, the 3,800-foot distance is contingent upon the pilot holding the airplane's brakes, applying full engine power with the brakes set, and then releasing the brakes to initiate the takeoff roll. In addition, the airplane's ability to achieve its published performance parameters (which are derived from test flights in new airplanes) can be degraded by a number of factors, such as pilot deviations from the published procedures, reduced engine performance, or increased aerodynamic drag associated with minor damage and wear of the airframe. It could not be determined where on the runway the pilot initiated the takeoff roll or at what point full engine power was applied. However, because the runway was only 130 feet longer than the airplane required (according to its published performance data), there was little margin for any deviations from the published takeoff procedure. Although examination of the engines, propellers, and related systems revealed no evidence of precrash anomalies, postaccident damage precluded engine performance testing to determine whether the engines were capable of producing their full-rated power. Therefore, the significance of maintenance issues with the airplane (in particular, a mechanic's assessment that the turbochargers needed to be replaced and that the airplane's required annual inspection was not completed) could not be determined with respect to any possible effect on the airplane's ability to perform as published. A review of Federal Aviation Administration (FAA) and insurance records revealed evidence that the pilot may have been deficient with regard to his ability to safely operate a PA 60-601P. For example, according to FAA records, as a result of an April 2004 incident in which the pilot landed the accident airplane on a wet grassy runway with a tailwind, resulting in the airplane going off the runway and striking a fence, the FAA issued the pilot a letter of reexamination to reexamine his airman competency. However, the pilot initially refused delivery of the letter; he subsequently accepted delivery of a second letter (which gave the pilot 10 days to respond before the FAA would suspend his certificate pending compliance) and contacted the FAA regarding the matter on Monday, August 2, 2004 (the day before the accident), telling an FAA inspector to ""talk to his lawyer."" In addition, as a result of the same April 2004 incident, the pilot's insurance company placed a limitation on his policy that required him to either attend a certified PA-60-601P flight-training program before he could act as pilot-in-command of the accident airplane or have a current and properly certificated pilot in the airplane with him during all flights until he completed such training. There was no evidence that the pilot adhered to either of the insurance policy requirements. In addition, the FAA had a previous open enforcement action (a proposed 240-day suspension of the pilot's commercial certificate) pending against the pilot for allegedly operating an airplane in an unsafe manner in September 2003; that case was pending a hearing with an NTSB aviation law judge at the time of the accident. Although the FAA's final rule for Part 91, Subpart K, ""Fractional Ownership Operations,"" became effective on November 17, 2003, the regulations apply to fractional ownership programs that include two or more airworthy aircraft. There was no evidence that the pilot had a management agreement involving any other airplane; therefore, the rules of Part 91, Subpart K, which provide a level of safety for fractional ownership programs that are equivalent to certain regulations that apply to on-demand operators, did not apply to the accident flight. In the year before the accident, the FAA had conducted a ramp check of the pilot and the accident airplane and also conducted an investigation that determined there was not sufficient evidence that the pilot was conducting any illegal for-hire operations.",Human factor
8/5/2004,16H 48M 0S,Casa 212 Aviocar,Venezuelan Navy - Armada Venezolana,ARBV-0206,Landing (descent or approach),Military,Yes,Airport (less than 10 km from airport),Puerto Ayacucho - San Carlos de Rio Negro,183,1981,NA,San Carlos de Rio Negro Amazonas,Venezuela,South America,2,0,10,0,0,0,"The approach to San Carlos de Rio Negro Airport was completed in stormy weather. After touchdown, the twin engine aircraft failed to stop within the remaining distance. It overran, went down an embankment, collided with a fence and came to rest along a dirt road. A passenger was slightly injured while 11 other occupants escaped unhurt. The aircraft was damaged beyond repair.",Unknown
8/12/2004,NA,Douglas A-26 Invader,Air Spray,C-FCBK,Takeoff (climb),Fire fighting,Yes,Airport (less than 10 km from airport),Rainbow Lake - High Level,28940,1944,NA,Rainbow Lake Alberta,Canada,North America,1,0,0,0,0,0,"The pilot, sole on board, was engaged in a fire fighting mission and was supposed to leave Rainbow Lake for High Level. During the takeoff roll, at a speed of 90 knots, one of the engine lost power. The pilot rejected takeoff and released the load of fire retardant. Unable to stop within the remaining distance, the aircraft overran, rolled for about 1,200 feet then struck a drainage ditch and came to rest. The pilot was seriously injured and the aircraft was damaged beyond repair.",Technical failure
8/17/2004,23H 40M 0S,Beechcraft 99 Airliner,Alpine Air,N199GL,Flight,Postal (mail),No,Mountains,Billings – Kalispell,U-15,1968,NA,Mt Big Baldy Montana,United States of America,North America,2,2,0,0,0,2,"While on the return leg of a non-scheduled 14 CFR Part 135 VFR cross-country flight, the airplane collided with mountainous terrain at approximately 9,100 feet above mean sea level. Prior to the accident, the pilot informed air traffic control that he was VFR and level at 8,500 feet MSL. Dark night conditions prevailed at the time of the accident. The aircraft crashed on the south-facing slope of the 9,100-foot mountain near the last recorded radar position. Wreckage and impact signatures at the crash site were indicative of high energy and shallow impact with the terrain. The investigation revealed no evidence of any aircraft mechanical problems.",Human factor
8/17/2004,15H 15M 0S,Beechcraft 90 King Air,Eclipse Enterprises,N45TT,Takeoff (climb),Executive/Corporate/Business,Yes,Airport (less than 10 km from airport),Pensacola – Gulf Shores,LJ-312,1967,NA,Pensacola-Ferguson Field Florida,United States of America,North America,1,0,1,0,0,0,"The pilot stated that he was proceeding to a nearby airport to refuel, and during the takeoff from his departure airport, about 3 to 4 seconds after rotating, the right engine ceased operating due to fuel exhaustion. He said that the airplane drifted to the right, and he feathered the right propeller and turned to the right in order to return to the runway. After leveling, he said the airplane started to climb so he reduced power, and as he did so the airspeed dropped to 80 knots, and the stall warning light was activated. He said he added full power to recover, and the aircraft veered radically to the right in the direction of the hangars. Keeping the landing gear in the up position, he said he performed a belly landing and the airplane incurred damage.",Human factor
8/21/2004,16H 15M 0S,Short 360,Venezuelan Air Force - Fuerza Aérea Venezolana,FAV-1652,Flight,Military,No,Mountains,La Orchila - Maracay,3727,1987,NA,El Libertador AFB (Maracay) Aragua,Venezuela,South America,3,3,27,27,0,30,"While descending to the altitude of 9,500 feet in poor weather conditions, the aircraft struck the slope of Mt El Perico located about 25 km from the Maracay-El Libertador Air Force Base. The aircraft was totally destroyed upon impact and all 30 occupants were killed, among them few civilians.",Human factor
